alias_name,machine_id,formal_machine_name,confidence_score,memo
PAわんわんパラダイスCELEBRATION AGBD,P_f129bb938f,PAわんわんパラダイスCELEBRATION AGBD,1.0,初期自動登録
PAわんわんパラダイスV GBA,P_55aa1567e2,PAわんわんパラダイスV GBA,1.0,初期自動登録
PAガンスリンガー ストラトス 遊撃ver.,P_1d47cfc7cd,PAガンスリンガー ストラトス 遊撃ver.,1.0,初期自動登録
PAガールフレンド(仮) 99ver.,P_d86bd46836,PAガールフレンド(仮) 99ver.,1.0,初期自動登録
PAギンギラパラダイス 夢幻カーニバル 強99ver.,P_4e87c0fa33,PAギンギラパラダイス 夢幻カーニバル 強99ver.,1.0,初期自動登録
PAコマコマ倶楽部with坂本冬美 89STver.,P_93c15deb3a,PAコマコマ倶楽部with坂本冬美 89STver.,1.0,初期自動登録
PAコマコマ倶楽部with坂本冬美 99ver.,P_00d55425b8,PAコマコマ倶楽部with坂本冬美 99ver.,1.0,初期自動登録
PAコマコマ倶楽部with坂本冬美 99確変ループver.,P_9063d8b0da,PAコマコマ倶楽部with坂本冬美 99確変ループver.,1.0,初期自動登録
PAデジハネガオガオキング3 SWQA,P_1e9f63cb43,PAデジハネガオガオキング3 SWQA,1.0,初期自動登録
PAデジハネ火曜サスペンス劇場3 最後の推理 GSA,P_300ddf6834,PAデジハネ火曜サスペンス劇場3 最後の推理 GSA,1.0,初期自動登録
PAナムココレクション 89ver.,P_f9cbf95d1a,PAナムココレクション 89ver.,1.0,初期自動登録
PAナムココレクション2 スイートゲームver.,P_b25758b410,PAナムココレクション2 スイートゲームver.,1.0,初期自動登録
PAハイスクール・フリート オールスター すい～とでハッピー!2400,P_31c936f444,PAハイスクール・フリート オールスター すい～とでハッピー!2400,1.0,初期自動登録
PAハイスクール・フリート スイートでハッピー!,P_aaba71b8ee,PAハイスクール・フリート スイートでハッピー!,1.0,初期自動登録
PAビビッドレッド・オペレーション Sweetもも99ver.,P_887de14f78,PAビビッドレッド・オペレーション Sweetもも99ver.,1.0,初期自動登録
PAフィーバー バイオハザード リベレーションズ2 Light ver.,P_b75dc283a2,PAフィーバー バイオハザード リベレーションズ2 Light ver.,1.0,初期自動登録
PAフィーバー 機動戦士ガンダムユニコーン LIGHT ver.,P_c0b710aa00,PAフィーバー 機動戦士ガンダムユニコーン LIGHT ver.,1.0,初期自動登録
PAフィーバーかぐや様は告らせたい Light ver.,P_be2f1d9bf7,PAフィーバーかぐや様は告らせたい Light ver.,1.0,初期自動登録
PAフィーバーからくりサーカス2 Light ver.,P_014ce94483,PAフィーバーからくりサーカス2 Light ver.,1.0,初期自動登録
PAフィーバーアイドルマスター ミリオンライブ! LIGHT VER.,P_f78a6ff040,PAフィーバーアイドルマスター ミリオンライブ! LIGHT VER.,1.0,初期自動登録
PAフィーバーアクエリオン ALL STARS LIGHT ver.,P_9c4a645cc9,PAフィーバーアクエリオン ALL STARS LIGHT ver.,1.0,初期自動登録
PAフィーバースーパー戦隊 Light ver.,P_1bbc8d75b8,PAフィーバースーパー戦隊 Light ver.,1.0,初期自動登録
PAフィーバーダンジョンに出会いを求めるのは間違っているだろうか2 LT-Light ver.,P_72017f216e,PAフィーバーダンジョンに出会いを求めるのは間違っているだろうか2 LT-Light ver.,1.0,初期自動登録
PAフィーバーダンベル何キロ持てる? Light ver.,P_703810fa4d,PAフィーバーダンベル何キロ持てる? Light ver.,1.0,初期自動登録
PAフィーバーパワフル R,P_b275f17941,PAフィーバーパワフル R,1.0,初期自動登録
PAフィーバーマクロスフロンティア3 Light ver.,P_ccb4e5ac7c,PAフィーバーマクロスフロンティア3 Light ver.,1.0,初期自動登録
PAフィーバーマクロスフロンティア4 88ver.,P_55b1b48c1c,PAフィーバーマクロスフロンティア4 88ver.,1.0,初期自動登録
PAフィーバー機動戦士ガンダム 逆襲のシャア Light ver.,P_24c67e6339,PAフィーバー機動戦士ガンダム 逆襲のシャア Light ver.,1.0,初期自動登録
PAフィーバー機動戦士ガンダムユニコーン LIGHT ver.,P_d09f0720e9,PAフィーバー機動戦士ガンダムユニコーン LIGHT ver.,1.0,初期自動登録
PAフィーバー機動戦士ガンダムユニコーン 再来 99ver.,P_8417cbb82c,PAフィーバー機動戦士ガンダムユニコーン 再来 99ver.,1.0,初期自動登録
PAフィーバー真花月2 Light Ver.,P_31124112c9,PAフィーバー真花月2 Light Ver.,1.0,初期自動登録
PAフィーバー蒼穹のファフナー2 Light ver.,P_9c07ab5db6,PAフィーバー蒼穹のファフナー2 Light ver.,1.0,初期自動登録
PAヤッターマンVVV YBB,P_84e27f6403,PAヤッターマンVVV YBB,1.0,初期自動登録
PAリング バースデイ 呪いの始まり FWC,P_3b4f6c448c,PAリング バースデイ 呪いの始まり FWC,1.0,初期自動登録
PAリング 呪いの7日間2 FWA,P_8fb658aa66,PAリング 呪いの7日間2 FWA,1.0,初期自動登録
PAワンパンマン 99ver.,P_1c5cd0e166,PAワンパンマン 99ver.,1.0,初期自動登録
PAヱヴァンゲリヲン13 エクストラモデル,P_3376969faa,PAヱヴァンゲリヲン13 エクストラモデル,1.0,初期自動登録
PA世紀末・天才バカボン～神SPEC凱旋～ 99ver.,P_2bb1bea3a2,PA世紀末・天才バカボン～神SPEC凱旋～ 99ver.,1.0,初期自動登録
PA乗物娘 WITH CYBERJAPAN(R) DANCERS 77ver.,P_fa53c5b510,PA乗物娘 WITH CYBERJAPAN(R) DANCERS 77ver.,1.0,初期自動登録
PA乗物娘 with CYBER JAPAN DANCERS 2nd season 77ver.,P_f5ead67a47,PA乗物娘 with CYBER JAPAN DANCERS 2nd season 77ver.,1.0,初期自動登録
PA元祖ギンギラパラダイス 強99ver.,P_0dee883d0e,PA元祖ギンギラパラダイス 強99ver.,1.0,初期自動登録
PA元祖大工の源さん WBE,P_e4f62df3df,PA元祖大工の源さん WBE,1.0,初期自動登録
PA元祖大工の源さん2 JBB,P_119e51375a,PA元祖大工の源さん2 JBB,1.0,初期自動登録
PA咲-Saki- 阿知賀編 99バージョン,P_0c353965d4,PA咲-Saki- 阿知賀編 99バージョン,1.0,初期自動登録
PA巨人の星 一球入魂 明子2000Ver,P_a35c0abe8a,PA巨人の星 一球入魂 明子2000Ver,1.0,初期自動登録
PA巨人の星～栄光の軌跡～ Light version,P_7cfcd2997d,PA巨人の星～栄光の軌跡～ Light version,1.0,初期自動登録
PA怪盗おそ松さん HC-R,P_853e3b7636,PA怪盗おそ松さん HC-R,1.0,初期自動登録
PA戦国BASARA N-5V1,P_0370a10434,PA戦国BASARA N-5V1,1.0,初期自動登録
PA清流物語4 ウキウキ79ver.,P_0b6e323d70,PA清流物語4 ウキウキ79ver.,1.0,初期自動登録
PA激デジ ジューシーハニーハーレム RAY,P_f5c0bcb748,PA激デジ ジューシーハニーハーレム RAY,1.0,初期自動登録
PA激デジ 笑ゥせぇるすまん 最後の忠告 MPY,P_1c513ce24c,PA激デジ 笑ゥせぇるすまん 最後の忠告 MPY,1.0,初期自動登録
PA激デジジューシーハニー3 NCY,P_4850822033,PA激デジジューシーハニー3 NCY,1.0,初期自動登録
PA真・怪獣王ゴジラ N2-K6,P_5ce1f6da0a,PA真・怪獣王ゴジラ N2-K6,1.0,初期自動登録
PA真・怪獣王ゴジラ NL-K1,P_d86b4307d3,PA真・怪獣王ゴジラ NL-K1,1.0,初期自動登録
PA真・怪獣王ゴジラ2 78Ver.,P_77b8087086,PA真・怪獣王ゴジラ2 78Ver.,1.0,初期自動登録
PA真・暴れん坊将軍 双撃 99Ver.,P_c16067067d,PA真・暴れん坊将軍 双撃 99Ver.,1.0,初期自動登録
PA緋弾のアリアAA JD設定付,P_7fa7df0016,PA緋弾のアリアAA JD設定付,1.0,初期自動登録
PA緋弾のアリアⅢ FW設定付,P_e59aee68d0,PA緋弾のアリアⅢ FW設定付,1.0,初期自動登録
PA緋弾のアリア～緋弾覚醒編～甘デジver.,P_d31fca3fdf,PA緋弾のアリア～緋弾覚醒編～甘デジver.,1.0,初期自動登録
PA聖闘士星矢4 The Battle of ”限界突破” 女神シリーズ,P_0f6d136cc0,PA聖闘士星矢4 The Battle of ”限界突破” 女神シリーズ,1.0,初期自動登録
PA貞子vs伽椰子 頂上決戦 FWA,P_801301fba2,PA貞子vs伽椰子 頂上決戦 FWA,1.0,初期自動登録
PA遠山の金さん2 遠山桜と華の密偵 JWD,P_3e769b9ae5,PA遠山の金さん2 遠山桜と華の密偵 JWD,1.0,初期自動登録
PA野生の王国Ⅵ N2,P_4b9cdd8418,PA野生の王国Ⅵ N2,1.0,初期自動登録
PA野生の王国～どらむサファリ～ 99Ver.,P_fd6d118405,PA野生の王国～どらむサファリ～ 99Ver.,1.0,初期自動登録
PA鉄拳 極 SWEET COMBO VER.,P_73bc6f556e,PA鉄拳 極 SWEET COMBO VER.,1.0,初期自動登録
PA銀河英雄伝説 Die Neue These 遊パチスペック,P_808b4496fa,PA銀河英雄伝説 Die Neue These 遊パチスペック,1.0,初期自動登録
PA魔王学院の不適合者 魔王再臨 99Ver,P_f1243c8a75,PA魔王学院の不適合者 魔王再臨 99Ver,1.0,初期自動登録
PLT OVERLORD魔導王光臨 129ver.,P_fbcb80e4d3,PLT OVERLORD魔導王光臨 129ver.,1.0,初期自動登録
PLT OVERLORD魔導王光臨 ME,P_b5aaab011c,PLT OVERLORD魔導王光臨 ME,1.0,初期自動登録
PLTジューシーハニー極嬢 MA,P_c9dfa17b5d,PLTジューシーハニー極嬢 MA,1.0,初期自動登録
PLT世界でいちばん強くなりたい!2 MQ,P_4c77c1106d,PLT世界でいちばん強くなりたい!2 MQ,1.0,初期自動登録
