machine_name,category,certification_date,certification_source,memo
Pバジリスク～桜花忍法帖～ MD,P,,,
Pバジリスク～桜花忍法帖～ 早咲き桜99ver.,P,,,
Pバジリスク～甲賀忍法帖～2 MD,P,,,
Pバジリスク～甲賀忍法帖～2 朧の章,P,,,
Pバベル5000 MN,P,,,
Pバンドリ! H1YZ4,P,,,
Pバンドリ! Light ver.,P,,,
Pバーストエンジェル3 199Ver,P,,,
Pパイレーツオブダイナマイトキング AG-JJJS,P,,,
Pパチンコ 新世紀エヴァンゲリオン ～未来への咆哮～,P,,,
Pパチンコ閃乱カグラ2 胸躍る199Ver.,P,,,
PパトラッシュV GREEN,P,,,
PパトラッシュV RED,P,,,
Pビッグドリーム2 激神 199ver.,P,,,
Pビッグドリーム2 激神 GFE,P,,,
Pビッグドリーム3 77ver.,P,,,
Pビッグドリーム3 SFJJ,P,,,
Pビビッドレッド・オペレーション M-K YT599,P,,,
Pフィーバー バイオハザード リベレーションズ2 Z,P,,,
Pフィーバー 機動戦士ガンダムユニコーン b,P,,,
Pフィーバーありふれた職業で世界最強 Light ver.,P,,,
Pフィーバーありふれた職業で世界最強 R,P,,,
Pフィーバーうたわれるもの 199ver.,P,,,
Pフィーバーうたわれるもの LT-Light ver.,P,,,
Pフィーバーかぐや様は告らせたい R,P,,,
Pフィーバーからくりサーカス Light ver.,P,,,
Pフィーバーからくりサーカス V,P,,,
Pフィーバーアイドルマスター ミリオンライブ! 39フェスver.,P,,,
Pフィーバーアイドルマスター ミリオンライブ! PREMIUM 39LIVE TOUR,P,,,
PフィーバーアクエリオンW 気持ちいい～！ver.,P,,,
Pフィーバーアクエリオン極合体 F,P,,,
PフィーバークィーンRUSH Y,P,,,
PフィーバークィーンⅡ,P,,,
PフィーバークィーンⅡ YS,P,,,
PフィーバークィーンⅡ30th ANNIVERSARY EDITION V,P,,,
Pフィーバーゴルゴ13 Light ver.(2022年),P,,,
Pフィーバーゴルゴ13 疾風Ver.,P,,,
Pフィーバーゴルゴ13 疾風マシンガンVer.,P,,,
Pフィーバースプラッシュ×スプラッシュ,P,,,
PフィーバータイガーマスクW Light ver.,P,,,
PフィーバータイガーマスクW R,P,,,
Pフィーバーダンジョンに出会いを求めるのは間違っているだろうか F,P,,,
Pフィーバーダンベル何キロ持てる? V,P,,,
Pフィーバートータル・イクリプス V,P,,,
PフィーバーパワフルⅢ-F,P,,,
PフィーバーマクロスΔ A,P,,,
PフィーバーマクロスΔ F,P,,,
PフィーバーマクロスΔ V-ラッシュver.,P,,,
Pフィーバーマクロスフロンティア4 A,P,,,
Pフィーバーマクロスフロンティア5 LT-Light ver.,P,,,
Pフィーバーマクロスフロンティア5 W,P,,,
Pフィーバー三国戦騎 7500,P,,,
Pフィーバー彼女、お借りします LT-Light ver.,P,,,
Pフィーバー戦姫絶唱シンフォギア LIGHT ver. 遊タイム付,P,,,
Pフィーバー戦姫絶唱シンフォギア2,P,,,
Pフィーバー戦姫絶唱シンフォギア2 1/230 ver.,P,,,
Pフィーバー戦姫絶唱シンフォギア2 1/77ver.,P,,,
Pフィーバー戦姫絶唱シンフォギア3 黄金絶唱 LIGHT ver.,P,,,
Pフィーバー戦姫絶唱シンフォギア3 黄金絶唱 N,P,,,
Pフィーバー戦姫絶唱シンフォギア4 199ver.,P,,,
Pフィーバー戦姫絶唱シンフォギア4 LT-Light ver.,P,,,
Pフィーバー戦姫絶唱シンフォギア4 Light ver.,P,,,
Pフィーバー機動戦士ガンダム 逆襲のシャア Z,P,,,
Pフィーバー機動戦士ガンダムSEED LT-Light ver.,P,,,
Pフィーバー機動戦士ガンダムSEED S,P,,,
Pフィーバー機動戦士ガンダムユニコーン b,P,,,
Pフィーバー機動戦士ガンダムユニコーン 再来 -白き一角獣と黒き獅子- S,P,,,
Pフィーバー機動戦士ガンダムユニコーン 再来 129ver.,P,,,
Pフィーバー機動戦士ガンダムユニコーン再来 129ver.,P,,,
Pフィーバー炎炎ノ消防隊 G,P,,,
