machine_name,category,first_report_date,data_count,avg_operation,max_operation,min_operation,avg_sales,max_sales,avg_gross_profit,max_gross_profit,latest_report_date,latest_operation,latest_sales,latest_gross_profit,operation_contribution_weeks,avg_operation_4w,avg_operation_12w,machine_id,formal_machine_name,maker_name,series_name,sub_series_name,machine_type,is_smart,is_lt,operation_score,latest_operation_score,profit_score_base,lifecycle_score_base,profit_tolerance_score,popularity_score,profit_score,lifecycle_score,overall_score,overall_grade,ai_comment
e ソードアート・オンライン 閃光の軌跡 K7,P,2024-12-25,39,13338.205128205129,39260,7640,29311.46153846154,81710,4933.974358974359,15354,2026-06-24,7850,18388,3658,24,7985.0,8916.666666666666,P_750e7c6ed1,e ソードアート・オンライン 閃光の軌跡 K7,京楽産業．,ソードアート・オンライン,,スマパチ,True,False,25.68,16.23,41.83,10.62,34.56,21.19,37.59,12.09,23.84,D,e ソードアート・オンライン 閃光の軌跡 K7は平均稼働13338、平均粗利4934、稼働貢献週24週。人気指数21.2、粗利指数37.6、寿命指数12.1。
P GOD EATER-ブラッドの覚醒- アマデジ神撃90VER,P,2020-02-26,8,16415.0,28880,7030,23090.75,38741,3529.0,5459,2020-04-15,7030,10506,1330,6,10695.0,16415.0,P_93ee87f90a,P GOD EATER-ブラッドの覚醒- アマデジ神撃90VER,サンセイR&D,ゴッド,,パチンコ,False,False,33.02,14.25,35.87,2.65,34.59,22.41,35.12,12.75,23.81,D,P GOD EATER-ブラッドの覚醒- アマデジ神撃90VERは平均稼働16415、平均粗利3529、稼働貢献週6週。人気指数22.4、粗利指数35.1、寿命指数12.8。
CR黄門ちゃま 超寿 日本漫遊2700km 199ver.,P,2019-10-02,50,10801.6,16250,5240,19302.52,27748,3724.3,6424,2021-01-20,11690,20870,5398,36,12657.5,11033.333333333334,P_5152d58305,CR黄門ちゃま 超寿 日本漫遊2700km 199ver.,平和,,,甘デジ/ライト,False,False,19.62,25.51,36.7,15.93,29.01,21.29,32.22,18.21,23.8,D,CR黄門ちゃま 超寿 日本漫遊2700km 199ver.は平均稼働10802、平均粗利3724、稼働貢献週36週。人気指数21.3、粗利指数32.2、寿命指数18.2。
Pぱちんこ GANTZ覚醒 RUSH180,P,2023-10-11,17,13146.470588235294,30180,7280,28828.352941176472,64175,6216.117647058823,13646,2024-02-07,7920,17738,3853,11,8127.5,9681.666666666666,P_2698c043da,Pぱちんこ GANTZ覚醒 RUSH180,オッケー．,,,パチンコ,False,False,25.22,16.4,47.27,4.87,37.35,20.16,41.48,9.15,23.8,D,Pぱちんこ GANTZ覚醒 RUSH180は平均稼働13146、平均粗利6216、稼働貢献週11週。人気指数20.2、粗利指数41.5、寿命指数9.2。
Pぱちんこ劇場版魔法少女まどか☆マギカ キュウべえver.,P,2020-11-11,13,14455.384615384615,23470,10570,22010.53846153846,34563,3443.4615384615386,5466,2021-02-03,11000,17024,2740,13,11412.5,13704.166666666666,P_70a628f466,Pぱちんこ劇場版魔法少女まどか☆マギカ キュウべえver.,京楽産業．,まどか☆マギカ,,パチンコ,False,False,28.35,23.84,35.51,5.75,32.29,23.1,33.63,13.25,23.8,D,Pぱちんこ劇場版魔法少女まどか☆マギカ キュウべえver.は平均稼働14455、平均粗利3443、稼働貢献週13週。人気指数23.1、粗利指数33.6、寿命指数13.2。
P yes!高須クリニック青天 はじまりは4500,P,2023-06-14,4,13330.0,19130,9390,28109.25,39710,5541.0,7184,2023-07-05,9390,19978,3987,3,13330.0,13330.0,P_f69bce610e,P yes!高須クリニック青天 はじまりは4500,豊丸,,,パチンコ,False,False,25.66,19.95,44.41,1.33,35.97,20.4,39.49,11.06,23.79,D,P yes!高須クリニック青天 はじまりは4500は平均稼働13330、平均粗利5541、稼働貢献週3週。人気指数20.4、粗利指数39.5、寿命指数11.1。
CR J-RUSH3 RSJ,P,2019-09-18,21,14980.0,19070,8900,19529.761904761905,24678,2513.4761904761904,4398,2020-09-16,10520,14484,2480,19,10530.0,14699.166666666666,P_bcad688722,CR J-RUSH3 RSJ,ジェイビー,,,パチンコ,False,False,29.6,22.68,31.57,8.41,30.68,23.74,31.05,15.13,23.78,D,CR J-RUSH3 RSJは平均稼働14980、平均粗利2513、稼働貢献週19週。人気指数23.7、粗利指数31.1、寿命指数15.1。
P アズールレーン THE ANIMATION 異次元トリガー M4,P,2024-09-18,22,12575.90909090909,18500,8490,27576.5,40290,4809.681818181818,7008,2025-05-07,10030,22361,4372,20,9752.5,10873.333333333334,P_d2aaf5e28e,P アズールレーン THE ANIMATION 異次元トリガー M4,京楽産業．,,,パチンコ,False,False,23.86,21.5,41.3,8.85,33.45,21.23,36.72,12.83,23.78,D,P アズールレーン THE ANIMATION 異次元トリガー M4は平均稼働12576、平均粗利4810、稼働貢献週20週。人気指数21.2、粗利指数36.7、寿命指数12.8。
PA真・怪獣王ゴジラ2 78Ver.,P,2023-05-24,7,14381.42857142857,21020,9430,20744.14285714286,29687,4555.714285714285,6556,2023-07-05,9430,13838,2984,6,10820.0,14381.42857142857,P_77b8087086,PA真・怪獣王ゴジラ2 78Ver.,ニューギン,,,甘デジ/ライト,False,False,28.17,20.05,40.23,2.65,34.8,21.7,37.06,11.58,23.78,D,PA真・怪獣王ゴジラ2 78Ver.は平均稼働14381、平均粗利4556、稼働貢献週6週。人気指数21.7、粗利指数37.1、寿命指数11.6。
P天昇!姫相撲 大横綱ver,P,2020-03-11,6,15401.666666666666,28080,5370,28667.333333333332,50710,4957.5,7290,2020-04-30,5370,10418,1532,4,10835.0,15401.666666666666,P_7653ab6c1a,P天昇!姫相撲 大横綱ver,大一商会,,,パチンコ,False,False,30.6,10.24,41.93,1.77,36.83,20.37,38.96,11.67,23.77,D,P天昇!姫相撲 大横綱verは平均稼働15402、平均粗利4958、稼働貢献週4週。人気指数20.4、粗利指数39.0、寿命指数11.7。
Pアクエリオン ALL STARS bV,P,2020-03-11,19,13498.421052631578,35290,7800,25454.42105263158,64483,4803.8421052631575,11257,2020-08-19,11540,21678,4825,11,10407.5,9630.0,S_1c061e711c,Pアクエリオン ALL STARS bV,SANKYO,,,スロット,False,False,26.06,25.15,41.28,4.87,34.43,22.43,37.28,9.93,23.76,D,Pアクエリオン ALL STARS bVは平均稼働13498、平均粗利4804、稼働貢献週11週。人気指数22.4、粗利指数37.3、寿命指数9.9。
P百花繚乱 FM-JF,P,2023-09-13,9,14455.555555555555,31300,8020,30759.222222222223,64414,4968.777777777777,9001,2023-11-08,8170,17518,2907,6,8887.5,14455.555555555555,P_95a989881e,P百花繚乱 FM-JF,ディ・ライト,,,パチンコ,False,False,28.35,17.0,41.98,2.65,35.85,21.12,38.4,10.94,23.76,D,P百花繚乱 FM-JFは平均稼働14456、平均粗利4969、稼働貢献週6週。人気指数21.1、粗利指数38.4、寿命指数10.9。
Pぱちんこウルトラマンタロウ2 超決戦LIGHT ver.,P,2022-02-16,8,15648.75,25240,10500,28293.125,43156,2915.0,4079,2022-04-06,10500,19524,2565,8,11797.5,15648.75,P_5241431194,Pぱちんこウルトラマンタロウ2 超決戦LIGHT ver.,オッケー．,,,パチンコ,False,False,31.19,22.63,33.27,3.54,32.33,23.63,32.72,13.22,23.75,D,Pぱちんこウルトラマンタロウ2 超決戦LIGHT ver.は平均稼働15649、平均粗利2915、稼働貢献週8週。人気指数23.6、粗利指数32.7、寿命指数13.2。
Pフィーバー革命機ヴァルヴレイヴ3 Light ver.,P,2024-10-16,4,14380.0,20070,10170,24502.5,33405,4201.75,5153,2024-11-06,10170,17637,3180,4,14380.0,14380.0,S_4bf1d45498,Pフィーバー革命機ヴァルヴレイヴ3 Light ver.,SANKYO,,,スロット,False,False,28.17,21.84,38.73,1.77,33.98,21.89,35.96,12.33,23.72,D,Pフィーバー革命機ヴァルヴレイヴ3 Light ver.は平均稼働14380、平均粗利4202、稼働貢献週4週。人気指数21.9、粗利指数36.0、寿命指数12.3。
