raw_machine_name,suggested_machine_id,suggested_formal_machine_name,suggested_category,suggested_series_name,suggested_sub_series_name,suggested_machine_type,reason,review_status
PAコマコマ倶楽部with坂本冬美 99ver.,P_00d55425b8,PAコマコマ倶楽部with坂本冬美 99ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAコマコマ倶楽部with坂本冬美 99確変ループver.,P_9063d8b0da,PAコマコマ倶楽部with坂本冬美 99確変ループver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAデジハネガオガオキング3 SWQA,P_1e9f63cb43,PAデジハネガオガオキング3 SWQA,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAデジハネ火曜サスペンス劇場3 最後の推理 GSA,P_300ddf6834,PAデジハネ火曜サスペンス劇場3 最後の推理 GSA,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAナムココレクション 89ver.,P_f9cbf95d1a,PAナムココレクション 89ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAナムココレクション2 スイートゲームver.,P_b25758b410,PAナムココレクション2 スイートゲームver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAハイスクール・フリート オールスター すい～とでハッピー!2400,P_31c936f444,PAハイスクール・フリート オールスター すい～とでハッピー!2400,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAハイスクール・フリート スイートでハッピー!,P_aaba71b8ee,PAハイスクール・フリート スイートでハッピー!,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAビビッドレッド・オペレーション Sweetもも99ver.,P_887de14f78,PAビビッドレッド・オペレーション Sweetもも99ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAフィーバー バイオハザード リベレーションズ2 Light ver.,P_b75dc283a2,PAフィーバー バイオハザード リベレーションズ2 Light ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAフィーバー 機動戦士ガンダムユニコーン LIGHT ver.,P_c0b710aa00,PAフィーバー 機動戦士ガンダムユニコーン LIGHT ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAフィーバーかぐや様は告らせたい Light ver.,P_be2f1d9bf7,PAフィーバーかぐや様は告らせたい Light ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAフィーバーからくりサーカス2 Light ver.,P_014ce94483,PAフィーバーからくりサーカス2 Light ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAフィーバーアイドルマスター ミリオンライブ! LIGHT VER.,P_f78a6ff040,PAフィーバーアイドルマスター ミリオンライブ! LIGHT VER.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAフィーバーアクエリオン ALL STARS LIGHT ver.,P_9c4a645cc9,PAフィーバーアクエリオン ALL STARS LIGHT ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAフィーバースーパー戦隊 Light ver.,P_1bbc8d75b8,PAフィーバースーパー戦隊 Light ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAフィーバーダンジョンに出会いを求めるのは間違っているだろうか2 LT-Light ver.,P_72017f216e,PAフィーバーダンジョンに出会いを求めるのは間違っているだろうか2 LT-Light ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
