machine_name,category,first_report_date,data_count,avg_operation,max_operation,min_operation,avg_sales,max_sales,avg_gross_profit,max_gross_profit,latest_report_date,latest_operation,latest_sales,latest_gross_profit,operation_contribution_weeks,avg_operation_4w,avg_operation_12w,machine_id,formal_machine_name,maker_name,series_name,sub_series_name,machine_type,is_smart,is_lt,operation_score,latest_operation_score,profit_score_base,lifecycle_score_base,profit_tolerance_score,popularity_score,profit_score,lifecycle_score,overall_score,overall_grade,ai_comment
L戦国コレクション5超極楽LOOP,S,2023-09-27,53,6790.377358490566,19084,3922,24980.22641509434,61975,3921.6792452830186,8834,2025-09-10,3922,16052,990,4,4642.75,5167.583333333333,S_600d4e577a,L戦国コレクション5超極楽LOOP,コナミ,,,スマスロ,True,False,10.05,6.74,37.54,1.77,25.17,9.08,30.32,3.34,14.02,D,L戦国コレクション5超極楽LOOPは平均稼働6790、平均粗利3922、稼働貢献週4週。人気指数9.1、粗利指数30.3、寿命指数3.3。
ぱちすろ けものフレンズ,S,2022-06-01,11,7867.454545454545,15471,4282,24862.636363636364,45461,2875.4545454545455,5672,2022-08-10,4282,14766,1259,2,4677.0,7867.454545454545,S_c1038ffb23,ぱちすろ けものフレンズ,サミー,,,スロット,False,False,12.62,7.61,33.1,0.88,23.88,10.15,27.72,4.43,13.99,D,ぱちすろ けものフレンズは平均稼働7867、平均粗利2875、稼働貢献週2週。人気指数10.2、粗利指数27.7、寿命指数4.4。
パチスロ 閃乱カグラ BURST UP,S,2022-08-31,26,7137.2307692307695,19980,3950,22162.153846153848,53723,3565.3846153846152,8354,2023-03-01,4296,13850,2302,5,4170.5,4618.416666666667,S_5f84d5c804,パチスロ 閃乱カグラ BURST UP,オーイズミ,,,パチスロ,False,False,10.88,7.64,36.03,2.21,24.71,9.72,29.43,3.11,13.98,D,パチスロ 閃乱カグラ BURST UPは平均稼働7137、平均粗利3565、稼働貢献週5週。人気指数9.7、粗利指数29.4、寿命指数3.1。
パチスロ鉄拳5,S,2022-07-27,23,7060.04347826087,17857,3287,19057.0,46072,3616.7391304347825,7362,2023-01-11,4615,12730,3041,5,3708.75,4305.833333333333,S_b7989bfbea,パチスロ鉄拳5,山佐NEXT,,,パチスロ,False,False,10.69,8.41,36.25,2.21,24.75,9.83,29.54,2.76,13.98,D,パチスロ鉄拳5は平均稼働7060、平均粗利3617、稼働貢献週5週。人気指数9.8、粗利指数29.5、寿命指数2.8。
主役は銭形3,S,2021-12-15,38,7473.789473684211,18213,3845,22897.552631578947,51667,3335.2105263157896,7939,2022-09-07,3845,12485,1753,6,4337.75,4581.5,S_2cc784a62f,主役は銭形3,平和,,,スロット,False,False,11.68,6.55,35.05,2.65,24.53,9.88,28.91,3.42,13.97,D,主役は銭形3は平均稼働7474、平均粗利3335、稼働貢献週6週。人気指数9.9、粗利指数28.9、寿命指数3.4。
パチスロ獣王 王者の覚醒,S,2021-02-03,40,6361.625,8269,5351,22338.85,28941,3459.2,5430,2022-02-09,6439,23241,5430,0,7188.5,6837.583333333333,S_b0efc932ff,パチスロ獣王 王者の覚醒,サミー,,,パチスロ,False,False,9.03,12.82,35.58,0.0,23.63,9.63,28.61,4.19,13.96,D,パチスロ獣王 王者の覚醒は平均稼働6362、平均粗利3459、稼働貢献週0週。人気指数9.6、粗利指数28.6、寿命指数4.2。
ニューキングハナハナ-30,S,2020-04-30,1,5709.0,5709,5709,12881.0,12881,4364.0,4364,2020-04-30,5709,12881,4364,0,5709.0,5709.0,S_27341d90b6,ニューキングハナハナ-30,パイオニア,ハナハナ,,Aタイプ/ノーマル,False,False,7.47,11.06,39.41,0.0,25.04,8.63,31.03,2.99,13.94,D,ニューキングハナハナ-30は平均稼働5709、平均粗利4364、稼働貢献週0週。人気指数8.6、粗利指数31.0、寿命指数3.0。
Lucky 海物語,S,2021-01-20,2,6923.0,8200,5646,15827.5,18401,3234.0,3682,2021-01-27,5646,13254,2786,0,6923.0,6923.0,P_48060be54d,Lucky 海物語,三洋,海物語,,パチンコ,False,False,10.37,10.9,34.62,0.0,23.71,9.76,28.26,4.15,13.91,D,Lucky 海物語は平均稼働6923、平均粗利3234、稼働貢献週0週。人気指数9.8、粗利指数28.3、寿命指数4.2。
パチスロ笑ゥせぇるすまん4,S,2022-10-12,11,6914.090909090909,14900,3401,22588.18181818182,45777,3862.909090909091,6915,2022-12-21,3401,11552,1894,2,4004.0,6914.090909090909,S_3132848693,パチスロ笑ゥせぇるすまん4,三洋,,,パチスロ,False,False,10.35,5.48,37.29,0.88,25.17,8.72,30.22,3.63,13.9,D,パチスロ笑ゥせぇるすまん4は平均稼働6914、平均粗利3863、稼働貢献週2週。人気指数8.7、粗利指数30.2、寿命指数3.6。
SLOTデビルマンχ,S,2020-09-02,9,6067.666666666667,6988,5552,20437.333333333332,22829,3882.222222222222,5256,2021-01-20,6125,21384,5256,0,6054.25,6067.666666666667,S_fd0a03f57f,SLOTデビルマンχ,エレコ,,,パチスロ,False,False,8.32,12.06,37.37,0.0,24.3,9.19,29.74,3.32,13.89,D,SLOTデビルマンχは平均稼働6068、平均粗利3882、稼働貢献週0週。人気指数9.2、粗利指数29.7、寿命指数3.3。
秘宝伝-解き放たれた女神-,S,2021-12-29,13,7310.2307692307695,15883,3390,20609.46153846154,43044,3468.153846153846,6920,2022-04-06,3390,10255,1903,3,4053.0,6595.833333333333,S_58512b763a,秘宝伝-解き放たれた女神-,サボハニ,,,スロット,False,False,11.29,5.45,35.62,1.33,24.67,9.18,29.23,3.72,13.83,D,秘宝伝-解き放たれた女神-は平均稼働7310、平均粗利3468、稼働貢献週3週。人気指数9.2、粗利指数29.2、寿命指数3.7。
アナザーゴッドハーデス-解き放たれし槍撃ver.-,S,2023-04-26,18,7399.333333333333,19454,2059,31697.833333333332,76735,3919.3888888888887,9374,2025-09-10,2059,9699,1318,3,4085.5,5243.5,S_3ad090faac,アナザーゴッドハーデス-解き放たれし槍撃ver.-,ミズホ,ゴッド,,スロット,False,False,11.5,2.24,37.53,1.33,25.82,8.58,30.7,2.93,13.8,D,アナザーゴッドハーデス-解き放たれし槍撃ver.-は平均稼働7399、平均粗利3919、稼働貢献週3週。人気指数8.6、粗利指数30.7、寿命指数2.9。
L島娘(2025年),S,2025-01-29,11,7725.181818181818,13684,4145,41227.09090909091,70071,2743.909090909091,3842,2025-09-10,4145,22694,-357,2,5737.5,7725.181818181818,S_655a077a55,L島娘(2025年),オリンピア,,,スマスロ,True,False,12.28,7.28,32.54,0.88,23.42,9.86,27.22,4.73,13.79,D,L島娘(2025年)は平均稼働7725、平均粗利2744、稼働貢献週2週。人気指数9.9、粗利指数27.2、寿命指数4.7。
キングクリエーター30,S,2024-03-13,3,7162.666666666667,9532,5391,12897.0,16288,2972.6666666666665,3246,2024-03-27,5391,10449,3246,0,7162.666666666667,7162.666666666667,S_877deef453,キングクリエーター30,北電子,,,スロット,False,False,10.94,10.29,33.51,0.0,23.35,9.83,27.58,4.38,13.79,D,キングクリエーター30は平均稼働7163、平均粗利2973、稼働貢献週0週。人気指数9.8、粗利指数27.6、寿命指数4.4。
沖ドキ!トロピカル,S,2020-04-30,53,6068.207547169812,8229,3209,18666.471698113208,25351,4204.33962264151,6770,2022-02-24,4353,13524,3614,0,5454.75,6427.75,S_be62fc850c,沖ドキ!トロピカル,ユニバーサルブロス,沖ドキ,,沖スロ,False,False,8.33,7.78,38.74,0.0,25.06,8.2,30.76,3.32,13.75,D,沖ドキ!トロピカルは平均稼働6068、平均粗利4204、稼働貢献週0週。人気指数8.2、粗利指数30.8、寿命指数3.3。
秘宝伝～The Last～,S,2021-08-18,2,5647.0,6382,4912,17546.5,19445,4453.5,4552,2022-01-26,4912,15648,4552,0,5647.0,5647.0,P_3615b7ca95,秘宝伝～The Last～,大都技研,,,パチンコ,False,False,7.32,9.13,39.79,0.0,25.18,8.09,31.27,2.93,13.75,D,秘宝伝～The Last～は平均稼働5647、平均粗利4454、稼働貢献週0週。人気指数8.1、粗利指数31.3、寿命指数2.9。
