machine_id,machine_name,first_seen_date,last_seen_date,data_count,best_cert_machine_name,certification_date,similarity,judge,final_machine_name,memo
925,Lスマスロキン肉マン～7人の悪魔超人編～,2023-08-16,2026-06-10,53,Lスマスロキン肉マン～7人の悪魔超人編～,,1.0,ほぼ一致,,
1224,Lスマスロスーパーブラックジャック(2025年),2025-02-12,2026-04-01,50,Lスマスロスーパーブラックジャック(2025年),,1.0,ほぼ一致,,
1390,Lスマスロネオプラネット,2025-11-26,2026-01-14,7,Lスマスロネオプラネット,,1.0,ほぼ一致,,
982,LスマスロモンキーターンⅤ,2023-12-13,2026-06-24,120,LスマスロモンキーターンⅤ,,1.0,ほぼ一致,,
1460,Lスマスロヨルムンガンド,2026-04-15,2026-05-20,6,Lスマスロヨルムンガンド,,1.0,ほぼ一致,,
796,Lスマスロリノヘブン,2022-11-30,2022-12-21,4,Lスマスロリノヘブン,,1.0,ほぼ一致,,
1072,Lスマスロ交響詩篇エウレカセブン4 HI-EVOLUTION,2024-05-15,2024-06-12,5,Lスマスロ交響詩篇エウレカセブン4 HI-EVOLUTION,,1.0,ほぼ一致,,
968,Lスマスロ劇場版 魔法少女まどか☆マギカ[前編]始まりの物語／[後編]永遠の物語f-フォルテ-,2023-11-22,2023-11-29,2,Lスマスロ劇場版 魔法少女まどか☆マギカ[前編]始まりの物語／[後編]永遠の物語f-フォルテ-,,1.0,ほぼ一致,,
858,Lスマスロ北斗の拳,2023-04-12,2025-09-10,117,Lスマスロ北斗の拳,,1.0,ほぼ一致,,
1083,Lスマスロ痛いのは嫌なので防御力に極振りしたいと思います。,2024-06-12,2025-09-10,42,Lスマスロ痛いのは嫌なので防御力に極振りしたいと思います。,,1.0,ほぼ一致,,
1097,Lスマスロ真・北斗無双(2024年),2024-07-17,2025-09-10,11,Lスマスロ真・北斗無双(2024年),,1.0,ほぼ一致,,
953,Lスマスロ転生したらスライムだった件,2023-10-11,2025-09-10,15,Lスマスロ転生したらスライムだった件,,1.0,ほぼ一致,,
1412,Lスマスロ鉄拳6,2026-01-14,2026-04-08,13,Lスマスロ鉄拳6,,1.0,ほぼ一致,,
1150,Lスマスロ頭文字D 2nd,2024-10-16,2025-09-10,15,Lスマスロ頭文字D 2nd,,1.0,ほぼ一致,,
1259,Lスマート沖スロ アメイジングライブ,2025-04-16,2025-04-23,2,Lスマート沖スロ アメイジングライブ,,1.0,ほぼ一致,,
