machine_id,machine_name,first_seen_date,last_seen_date,data_count,best_cert_machine_name,certification_date,similarity,judge,final_machine_name,memo
991,L スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,2023-12-27,2026-06-17,38,L スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,,1.0,ほぼ一致,,
1326,L ダーリン・イン・ザ・フランキス,2025-08-13,2025-10-01,8,L ダーリン・イン・ザ・フランキス,,1.0,ほぼ一致,,
888,L ベルセルク無双,2023-06-14,2023-08-02,8,L ベルセルク無双,,1.0,ほぼ一致,,
981,L リングにかけろ1 V,2023-12-13,2023-12-27,3,L リングにかけろ1 V,,1.0,ほぼ一致,,
998,L 仮面ライダー 7RIDERS,2024-01-17,2024-07-10,25,L 仮面ライダー 7RIDERS,,1.0,ほぼ一致,,
1249,L 仮面ライダー電王,2025-03-26,2025-09-10,5,L 仮面ライダー電王,,1.0,ほぼ一致,,
1163,L 新・必殺仕置人 回胴 CRASH SPEC,2024-11-13,2024-12-18,6,L 新・必殺仕置人 回胴 CRASH SPEC,,1.0,ほぼ一致,,
1222,L 東京喰種,2025-02-12,2026-06-24,69,L 東京喰種,,1.0,ほぼ一致,,
1404,L 無職転生 ～異世界行ったら本気だす～,2025-12-31,2026-05-13,17,L 無職転生 ～異世界行ったら本気だす～,,1.0,ほぼ一致,,
1179,L 犬夜叉2,2024-12-11,2025-09-10,7,L 犬夜叉2,,1.0,ほぼ一致,,
1148,L 真・一騎当千,2024-10-16,2025-09-10,29,L 真・一騎当千,,1.0,ほぼ一致,,
1374,L 絶対衝激Ⅳ,2025-11-12,2025-12-24,6,L 絶対衝激Ⅳ,,1.0,ほぼ一致,,
1307,L 絶対衝激～PLATONIC HEART～,2025-06-18,2025-09-10,6,L 絶対衝激～PLATONIC HEART～,,1.0,ほぼ一致,,
1369,L 荒野のコトブキ飛行隊,2025-10-29,2025-11-19,4,L 荒野のコトブキ飛行隊,,1.0,ほぼ一致,,
937,L009 RE:CYBORG,2023-09-13,2024-02-07,21,L009 RE:CYBORG,,1.0,ほぼ一致,,
