machine_name,category,first_report_date,data_count,avg_operation,max_operation,min_operation,avg_sales,max_sales,avg_gross_profit,max_gross_profit,latest_report_date,latest_operation,latest_sales,latest_gross_profit,operation_contribution_weeks,avg_operation_4w,avg_operation_12w,machine_id,formal_machine_name,maker_name,series_name,sub_series_name,machine_type,is_smart,is_lt,operation_score,latest_operation_score,profit_score_base,lifecycle_score_base,profit_tolerance_score,popularity_score,profit_score,lifecycle_score,overall_score,overall_grade,ai_comment
Pジューシーハニー3 てんこ盛り連写RUSH RCY3,P,2022-06-15,9,14982.222222222223,26420,8330,31180.555555555555,53341,5409.888888888889,7666,2022-08-10,8330,17608,3219,7,9720.0,14982.222222222223,P_839ce7c035,Pジューシーハニー3 てんこ盛り連写RUSH RCY3,サンセイR&D,,,パチンコ,False,False,29.6,17.39,43.85,3.1,37.44,22.03,40.11,11.82,24.9,D,Pジューシーハニー3 てんこ盛り連写RUSH RCY3は平均稼働14982、平均粗利5410、稼働貢献週7週。人気指数22.0、粗利指数40.1、寿命指数11.8。
Pメイドインアビス 奈落の連環蝕 SL,P,2025-11-26,3,14803.333333333334,20250,8790,30626.0,41401,5513.333333333333,7165,2025-12-10,8790,18281,3311,2,14803.333333333334,14803.333333333334,P_7a36920ce2,Pメイドインアビス 奈落の連環蝕 SL,メーシー,,,パチンコ,False,False,29.18,18.5,44.29,0.88,37.49,21.68,40.32,12.2,24.9,D,Pメイドインアビス 奈落の連環蝕 SLは平均稼働14803、平均粗利5513、稼働貢献週2週。人気指数21.7、粗利指数40.3、寿命指数12.2。
PAフィーバー バイオハザード リベレーションズ2 Light ver.,P,2020-07-29,11,15992.727272727272,29250,9660,21638.454545454544,36627,3817.909090909091,5973,2020-10-07,9660,13592,2809,10,10710.0,15992.727272727272,P_b75dc283a2,PAフィーバー バイオハザード リベレーションズ2 Light ver.,SANKYO,,,甘デジ/ライト,False,False,32.02,20.6,37.1,4.42,34.81,23.92,35.77,13.57,24.89,D,PAフィーバー バイオハザード リベレーションズ2 Light ver.は平均稼働15993、平均粗利3818、稼働貢献週10週。人気指数23.9、粗利指数35.8、寿命指数13.6。
Pバイオハザード RE:2 H1YZ3,P,2023-05-17,19,14312.631578947368,30970,7910,29979.315789473683,62308,5779.789473684211,9782,2023-09-27,7950,16839,3384,15,8322.5,11373.333333333334,P_8873c01a69,Pバイオハザード RE:2 H1YZ3,アムテックス,,,パチンコ,False,False,28.0,16.47,45.42,6.64,37.58,21.8,40.85,11.29,24.89,D,Pバイオハザード RE:2 H1YZ3は平均稼働14313、平均粗利5780、稼働貢献週15週。人気指数21.8、粗利指数40.9、寿命指数11.3。
eルパン三世VSキャッツ・アイ MAH4,P,2025-11-12,12,14040.833333333334,27660,8240,32677.833333333332,61820,6178.5,8416,2026-02-04,8240,19593,3855,8,8732.5,14040.833333333334,P_d36065073a,eルパン三世VSキャッツ・アイ MAH4,平和,ルパン三世,,スマパチ,True,False,27.36,17.17,47.11,3.54,38.22,21.13,41.92,11.17,24.88,D,eルパン三世VSキャッツ・アイ MAH4は平均稼働14041、平均粗利6178、稼働貢献週8週。人気指数21.1、粗利指数41.9、寿命指数11.2。
P哲也 AM-JV,P,2023-05-17,6,14576.666666666666,23470,8570,33413.166666666664,53102,5818.666666666667,8525,2023-06-21,8570,19962,3661,4,11377.5,14576.666666666666,P_09b611741c,P哲也 AM-JV,大一商会,,,パチンコ,False,False,28.64,17.97,45.58,1.77,37.96,21.53,41.13,11.37,24.87,D,P哲也 AM-JVは平均稼働14577、平均粗利5819、稼働貢献週4週。人気指数21.5、粗利指数41.1、寿命指数11.4。
Pまわるん大海物語4 スペシャル with アグネス・ラム 119ver.,P,2021-08-11,58,11882.586206896553,19550,10200,15445.396551724138,23901,2045.1724137931035,2787,2023-07-05,11150,14786,2365,58,10850.0,10961.666666666666,P_5c423610be,Pまわるん大海物語4 スペシャル with アグネス・ラム 119ver.,三洋,海物語,,パチンコ,False,False,22.2,24.2,29.58,25.66,26.26,23.8,27.64,23.36,24.84,D,Pまわるん大海物語4 スペシャル with アグネス・ラム 119ver.は平均稼働11883、平均粗利2045、稼働貢献週58週。人気指数23.8、粗利指数27.6、寿命指数23.4。
Pギルティクラウン2 プレミアムライブチケット,P,2024-06-12,5,14068.0,20550,10830,29550.4,42842,5422.4,7304,2024-07-10,10830,22757,4545,5,12447.5,14068.0,P_1217fc41ee,Pギルティクラウン2 プレミアムライブチケット,メーシー,,,パチンコ,False,False,27.42,23.43,43.9,2.21,36.48,22.29,39.57,11.71,24.83,D,Pギルティクラウン2 プレミアムライブチケットは平均稼働14068、平均粗利5422、稼働貢献週5週。人気指数22.3、粗利指数39.6、寿命指数11.7。
P ToLOVEるダークネス 100ver.,P,2025-05-14,5,15892.0,24100,9440,27088.4,38702,4228.8,4933,2025-06-11,9440,16593,2733,4,13840.0,15892.0,P_76d6cce620,P ToLOVEるダークネス 100ver.,平和,,,パチンコ,False,False,31.77,20.07,38.84,1.77,35.66,23.23,36.98,13.04,24.81,D,P ToLOVEるダークネス 100ver.は平均稼働15892、平均粗利4229、稼働貢献週4週。人気指数23.2、粗利指数37.0、寿命指数13.0。
eフィーバーブルーロック MZ,P,2025-09-17,15,13946.666666666666,35390,8670,33640.0,83559,5330.666666666667,10479,2026-01-07,12380,29863,5909,9,10102.5,10636.666666666666,P_0e37a6892d,eフィーバーブルーロック MZ,SANKYO,,,スマパチ,True,False,27.13,27.18,43.51,3.98,36.14,23.41,39.21,9.89,24.77,D,eフィーバーブルーロック MZは平均稼働13947、平均粗利5331、稼働貢献週9週。人気指数23.4、粗利指数39.2、寿命指数9.9。
