machine_id,machine_name,category,category_size,category_rank_out_4w,category_rank_sales_4w,category_rank_profit_4w,category_top_rate,category_power_score
1411,Lスマスロ 北斗の拳 転生の章2,北斗,14,6.0,1.0,14.0,0.6428571428571428,64.6
1412,Lスマスロ鉄拳6,スマスロ,155,44.0,41.0,93.0,0.7225806451612904,68.0
1413,P ゴジラ対エヴァンゲリオン2 超デカシルバー,エヴァ,13,4.0,5.0,5.0,0.7692307692307692,73.8
1414,PA清流物語4 ウキウキ79ver.,パチンコ,176,79.0,149.0,163.0,0.5568181818181819,38.6
1415,Pフィーバーうたわれるもの LT-Light ver.,パチンコ,176,20.0,24.0,30.0,0.8920454545454546,87.8
1416,Pフィーバー彼女、お借りします LT-Light ver.,パチンコ,176,75.0,67.0,67.0,0.5795454545454546,59.8
1417,SBニューキングハナハナV-30,沖スロ,23,1.0,9.0,18.0,1.0,80.2
1418,e ゴジラ対エヴァンゲリオン2 超デカゴールド,エヴァ,13,9.0,6.0,6.0,0.3846153846153846,47.7
1419,e ソードアート・オンライン 閃光の軌跡 99Ver.,スマパチ,91,78.0,91.0,91.0,0.15384615384615385,9.7
1420,e 盾の勇者の成り上がり アルティメット199ver.,スマパチ,91,62.0,46.0,30.0,0.3296703296703297,42.6
1421,eようこそ実力至上主義の教室へ MA,スマパチ,91,71.0,68.0,89.0,0.23076923076923073,20.9
1422,e吉宗 極乗3000ver.,スマパチ,91,83.0,81.0,75.0,0.09890109890109888,11.8
1423,P【超甘LT】華牌RR 1/49×99de遊タイム,パチンコ,176,84.0,129.0,60.0,0.5284090909090908,48.5
1424,P閃乱カグラ 189大入りver.,パチンコ,176,172.0,141.0,104.0,0.02840909090909094,13.0
1425,e ULTRAMAN 4500超ライト,スマパチ,91,20.0,21.0,25.0,0.7912087912087912,78.0
1426,e範馬刃牙 199ver.,スマパチ,91,44.0,40.0,47.0,0.5274725274725275,53.4
1427,Lスマスロ ゴブリンスレイヤーⅡ,スマスロ,155,36.0,13.0,15.0,0.7741935483870968,83.2
1428,Lスマスロ ハナビ(2026年),スマスロ,155,41.0,146.0,141.0,0.7419354838709677,47.6
1429,Lスマスロ 攻殻機動隊(2026年),スマスロ,155,15.0,23.0,68.0,0.9096774193548387,84.5
1430,Lパチスロ 炎炎ノ消防隊2,スマスロ,155,24.0,31.0,58.0,0.8516129032258064,80.7
