machine_id,machine_name,active_status,latest_data_date,days_since_last_seen,weeks_since_last_seen,latest_out_per_unit,latest_sales_per_unit,latest_profit_per_unit,data_count
1102,P貞子 FMD,準現役,2025-05-14,406,58.0,8940.0,19034.0,4680.0,42
1103,e花の慶次～傾奇一転 L2-MX,準現役,2024-09-25,637,91.0,9010.0,20770.0,3698.0,10
1104,ご～やちゃんぷる～-25,準現役,2024-07-31,693,99.0,5468.0,22118.0,2770.0,3
1105,ご～やちゃんぷる～-30,準現役,2024-07-31,693,99.0,4841.0,18851.0,3547.0,3
1106,バハマ30(2024年),準現役,2024-08-06,687,98.1,5281.0,13195.0,2986.0,4
1107,Lスマスロ ゴッドイーター リザレクション,準現役,2026-01-07,168,24.0,9813.0,34547.0,3606.0,69
1108,Lスロット ゾンビランドサガ,準現役,2026-05-06,49,7.0,7424.0,20720.0,5311.0,28
1109,L賞金首Angel,準現役,2024-08-06,687,98.1,9026.0,35153.0,5398.0,2
1110,PAこの素晴らしい世界に祝福を! 「このゆる甘99に祝福を!」,準現役,2024-09-04,658,94.0,10370.0,15189.0,3319.0,5
1111,ミスタージャグラー,現役,2026-06-24,0,0.0,8955.0,17397.0,2200.0,95
1112,L D4DJ Pachi-Slot Mix,準現役,2024-09-18,644,92.0,5022.0,14758.0,3015.0,5
1113,Lスマスロ ゲゲゲの鬼太郎 覚醒,準現役,2025-09-10,287,41.0,2613.0,12674.0,613.0,14
1114,Lスマスロ トロピカーナ(2024年),準現役,2024-08-21,672,96.0,7171.0,26327.0,4387.0,1
1115,Lワンパンマン,準現役,2024-10-02,630,90.0,6231.0,21971.0,3094.0,7
1116,PAスーパー海物語 IN 地中海2 HLA,準現役,2024-10-23,609,87.0,11190.0,13581.0,1885.0,9
1117,Pフィーバー機動戦士ガンダムユニコーン 再来 -白き一角獣と黒き獅子- S,準現役,2024-10-09,623,89.0,9590.0,22846.0,3269.0,8
1118,P百花繚乱 ご奉仕129ver.,準現役,2024-09-11,651,93.0,12360.0,24474.0,2896.0,4
1119,eフィーバー機動戦士ガンダムユニコーン 再来 -白き一角獣と黒き獅子- R,準現役,2025-03-19,462,66.0,8620.0,19905.0,3122.0,29
1120,e北斗の拳10 GHEG,準現役,2025-01-22,518,74.0,9600.0,21124.0,3427.0,22
1121,Pドラムだ!金ドン 花火外伝 MP,準現役,2024-12-04,567,81.0,7880.0,16688.0,3322.0,15
1122,Pバンドリ! H1YZ4,準現役,2024-11-20,581,83.0,7900.0,17593.0,3267.0,12
1123,Pリング 呪いの7日間3 ラッキートリガーVer.,準現役,2025-01-08,532,76.0,11100.0,23702.0,4849.0,17
1124,P七つの美徳 ゴールデンエンジェルタイム スイート99Ver.,準現役,2024-09-18,644,92.0,9990.0,15432.0,3160.0,4
1125,デジハネP交響詩篇エウレカセブン ANEMONE 99ver.,準現役,2024-10-02,630,90.0,8970.0,14087.0,2987.0,6
1126,L A-SLOT+ この素晴らしい世界に祝福を!,準現役,2025-09-10,287,41.0,4060.0,9709.0,1165.0,14
1127,Lパチスロ かぐや様は告らせたい,準現役,2026-05-06,49,7.0,7223.0,27537.0,4499.0,82
1128,Lパチスロ閃乱カグラ2 SHINOVI MASTER,準現役,2025-09-10,287,41.0,4173.0,12441.0,1080.0,23
1129,PAコマコマ倶楽部with坂本冬美 99確変ループver.,準現役,2024-12-18,553,79.0,8620.0,13057.0,2840.0,13
1130,PAフィーバーかぐや様は告らせたい Light ver.,準現役,2024-10-30,602,86.0,8970.0,16206.0,2744.0,8
1131,Pとある科学の超電磁砲2 JMB,準現役,2025-01-08,532,76.0,10890.0,23846.0,4769.0,11
1132,Pルパン三世 銭形からの招待状 77Sweet Ver.,準現役,2025-01-08,532,76.0,11000.0,19524.0,4548.0,17
1133,e 仮面ライダー電王 KL12,準現役,2025-01-22,518,74.0,8380.0,18854.0,3767.0,19
1134,eキョンシー ライトミドル 新CタイムVer.,準現役,2024-09-25,637,91.0,9990.0,21478.0,3603.0,3
1135,eゴッドイーター TRIPLE BURST MJ,準現役,2025-01-08,532,76.0,11940.0,27681.0,5574.0,17
1136,パチスロL黄門ちゃま天,準現役,2024-10-09,623,89.0,6401.0,25913.0,3305.0,5
1137,P アズールレーン THE ANIMATION 異次元トリガー M4,準現役,2025-05-07,413,59.0,10030.0,22361.0,4372.0,22
1138,P 新世紀エヴァンゲリオン ～未来への咆哮～ PREMIUM MODEL,準現役,2025-10-01,266,38.0,7380.0,13912.0,2907.0,35
1139,P 百花繚乱 ご奉仕129ver.,準現役,2024-12-04,567,81.0,8630.0,17971.0,3244.0,9
1140,P 魔法少女まどか☆マギカ3 LM3,準現役,2025-08-13,315,45.0,10250.0,22681.0,4567.0,46
1141,P DD北斗の拳3 V1C,準現役,2024-10-09,623,89.0,10650.0,22805.0,4964.0,3
1142,PAワンパンマン 99ver.,準現役,2024-10-09,623,89.0,10830.0,20334.0,3992.0,3
1143,Pいくさの子 織田三郎信長伝 GFPF,準現役,2024-10-16,616,88.0,9290.0,21042.0,2534.0,4
1144,Pメイドインアビス 虹の黄金域 MR,準現役,2024-10-16,616,88.0,8570.0,20570.0,3223.0,4
1145,P攻殻機動隊SAC_2045 199LTver.,準現役,2024-11-20,581,83.0,8140.0,17342.0,3226.0,9
1146,パチスロハイパーラッシュ(2024年),準現役,2025-09-10,287,41.0,5820.0,12886.0,1165.0,34
1147,P大海物語4スペシャル BLACK SCA,現役,2026-06-24,0,0.0,10890.0,16249.0,2476.0,78
