machine_id,machine_name,latest_out_per_unit,avg_out_4w,avg_out_8w,avg_out_12w,avg_out_26w,trend_rate_4w,trend_rate_12w,trend_rate_4w_vs_26w,volatility_12w,volatility_26w,trend_score,trend_strength
469,ニューパルサーSPⅢ,3104.0,3746.75,3835.625,3950.75,4055.5384615384614,-0.045292393935533186,-0.023300370828182943,-0.07613994158036491,0.12687379621798753,0.10547709274042864,37.6,下降
492,P大海物語4 スペシャル BLACK SCA,11590.0,11582.5,11753.75,11724.166666666666,11536.538461538461,-0.028721174004192874,0.03175418011146953,0.003983997332888864,0.07833412619974049,0.07852330735939243,46.0,横ばい
503,チバリヨ-30(2021年),3225.0,4251.0,4363.625,4373.5,4718.923076923077,-0.05032113934655124,-0.11619682732141053,-0.09915886936393575,0.09153444380288794,0.1119083790614385,31.0,下降
511,P NEW TOKIO ハカマタイプ,15490.0,15182.5,15390.0,15146.666666666666,14844.23076923077,-0.026606828017310468,0.040531257155942295,0.022787925897136914,0.05139583553099889,0.046184820865073695,48.0,横ばい
533,SLOT劇場版魔法少女まどか☆マギカ[前編]始まりの物語／[後編]永遠の物語,1782.0,6655.5,10751.375,10751.375,10751.375,-0.5517351698125915,,-0.380962900094174,0.5187648039355031,0.5187648039355031,0.0,強い下降
554,PA乗物娘 WITH CYBERJAPAN(R) DANCERS 77ver.,10660.0,9792.5,9456.25,9369.166666666666,9675.76923076923,0.0737390350877193,-0.059399313979754155,0.012064236594188526,0.05469571287737314,0.06880421629779153,51.9,横ばい
567,ファンキージャグラー2,9179.0,8940.75,9345.625,9171.416666666666,9182.23076923077,-0.08304702322957797,0.011627693212736163,-0.02629870401863133,0.09003795583555445,0.07253666803494191,37.4,下降
569,Pうまい棒 4500～10500,7030.0,7897.5,7893.75,7810.0,7449.2307692307695,0.0009505703422053232,0.10168096861408248,0.060176579925650515,0.049659133070019665,0.06435102110098015,56.3,横ばい
576,P 009 RE:CYBORG ACCELERATOR EDITION M4-K,7490.0,7345.0,7966.25,7945.833333333333,8233.076923076924,-0.14468704512372635,-0.03919790407093918,-0.10786695319069427,0.11383431425209549,0.11047649935125801,24.9,強い下降
599,P野生の王国GO 99ver.,8480.0,8312.5,8518.75,8736.666666666666,9048.461538461539,-0.04727793696275072,-0.06359414076455884,-0.08133554365382986,0.04819285116262267,0.05377459686794188,37.3,下降
604,パチスロうまい棒(2021年),1133.0,3309.75,3647.125,4019.9166666666665,4817.357142857143,-0.1693437068640984,,-0.3129531604465994,0.2617094234080162,0.472190198787625,19.2,強い下降
605,マイジャグラーⅤ,13892.0,13567.75,14001.125,13810.083333333334,13837.76923076923,-0.06004710935605667,0.004649781151108883,-0.01951320521871576,0.06149786656855248,0.04917981862666234,40.7,下降
611,パチスロ 戦姫絶唱シンフォギア 勇気の歌,2233.0,3876.75,4042.0,4149.0,4534.692307692308,-0.07855487551250817,-0.1556346985499873,-0.14509083815372087,0.1573924727769328,0.14800425113392274,21.8,強い下降
612,沖ドキ!DUO,2522.0,3968.0,3935.0,3924.0,4116.423076923077,0.016914402870322913,-0.07712208219822439,-0.03605632223644506,0.16000808608742598,0.1270180965935692,39.5,下降
613,沖ドキ!DUO-30,2119.0,3464.5,3943.75,3980.5833333333335,4366.653846153846,-0.2167081166628985,-0.14624032601118878,-0.20660072401856722,0.18893587706447007,0.17634888581887578,4.7,強い下降
615,P Re:ゼロから始める異世界生活 鬼がかりver.,8770.0,8970.0,9450.0,9250.0,9858.846153846154,-0.09667673716012085,-0.09350755410371575,-0.09015721920961264,0.1391868275842688,0.14457645357934154,25.4,強い下降
621,バーサスリヴァイズ,7200.0,7382.0,7414.125,7414.5,7146.384615384615,-0.008628504280678193,0.07091788835126742,0.03296987180177176,0.022850345960763574,0.0487018714850033,53.7,横ばい
628,パチスロ ディスクアップ2,8519.0,9632.75,10246.375,10446.5,10224.5,-0.11300644567219152,0.04360639360639361,-0.05787569074282361,0.09897507856945936,0.0714344416143339,36.0,下降
630,パチスロアラジンAクラシック,2401.0,3205.0,3663.125,3921.0833333333335,5062.7692307692305,-0.22232332423415227,-0.33720700924047775,-0.36694724687006197,0.18018682252715676,0.2527688120808538,0.0,強い下降
633,押忍!番長ZERO,4388.0,5095.25,5437.25,5324.916666666667,5310.038461538462,-0.11835445775835965,0.02164841314253749,-0.040449511447838336,0.11399928370272891,0.09281113940206238,33.0,下降
642,ハナハナホウオウ～天翔～,3570.0,4471.75,4184.0,4333.583333333333,4455.461538461538,0.1477061276868784,-0.0264709736600709,0.0036558415773209124,0.14412591707154782,0.11418305770282815,59.8,横ばい
643,ハナハナホウオウ～天翔～-30,10265.0,7967.25,7598.125,7557.5,7685.923076923077,0.10212339189376124,-0.03648378734435429,0.03660288039072427,0.1169644747565062,0.11316938585797263,54.7,横ばい
650,SLOTマッピー,8250.0,8089.0,8414.625,8664.416666666666,10092.307692307691,-0.07451159863848288,-0.20516623219759808,-0.19849847560975603,0.08140112830170075,0.18229531998407117,21.4,強い下降
665,ニューパルサーDXⅢ,4355.0,4116.0,3997.0,4033.1666666666665,3942.846153846154,0.061371841155234655,0.04934738302762235,0.04391595294301267,0.049831200125024996,0.06270036949999645,59.3,横ばい
670,沖ドキ!2-30,3239.0,3903.25,4201.375,4146.583333333333,3982.6666666666665,-0.13251472385820648,,-0.01994057582859052,0.1288520362694428,0.13784888539498247,28.9,強い下降
681,パチスロ この素晴らしい世界に祝福を!,7443.0,7700.5,7956.375,7974.416666666667,7904.5,-0.062315443392492925,0.004629824045689329,-0.025808084002783224,0.07307184782009363,0.057571931695527295,40.0,下降
684,新ハナビ,8762.0,8664.0,8702.125,8772.583333333334,8729.461538461539,-0.008724006750378994,0.008516794083271132,-0.007498920543165119,0.023249108835276172,0.025529083359774444,48.7,横ばい
705,PAコマコマ倶楽部with坂本冬美 99ver.,8470.0,8607.5,8896.25,9119.166666666666,9499.23076923077,-0.06287425149700598,-0.08080638387232267,-0.0938739978945664,0.055196119689853204,0.08064163917552636,33.8,下降
723,スーパーハナハナ2-30,6938.0,6567.5,6961.125,6558.916666666667,6446.923076923077,-0.10703966824161257,0.0361774114983083,0.018703018732848076,0.1695798560817068,0.13744792453853755,33.3,下降
724,ニューゲッターマウス,3732.0,4646.0,5078.125,4915.666666666667,5475.115384615385,-0.15684406333650924,-0.1564466308202722,-0.15143340849859155,0.13080407498320068,0.1578053697556329,13.4,強い下降
727,パチスロ 甲鉄城のカバネリ,4991.0,6059.25,6499.25,6749.833333333333,7680.807692307692,-0.12681485751342003,-0.1989437664418379,-0.21111812159177973,0.13746551163976267,0.15817146274355118,13.4,強い下降
