machine_id,machine_name,latest_data_date,first_seen_date,last_seen_date,certification_date,data_weeks,weeks_from_first_seen,latest_out_per_unit,avg_out_4w,avg_out_12w,avg_out_26w,avg_out_52w,avg_out_all,latest_sales_per_unit,avg_sales_4w,avg_sales_12w,avg_sales_all,latest_profit_per_unit,avg_profit_4w,avg_profit_12w,avg_profit_all,peak_out_per_unit,peak_out_date,peak_ratio,trend,life_stage,rank_out_4w,rank_sales_4w,rank_profit_4w,operation_score
42,P一騎当千サバイバルソルジャー 甘デジVer.,2026-06-24,2019-09-04,2020-04-30,,12,355,4900.0,11292.5,13885.833333333334,13885.833333333334,13885.833333333334,13885.833333333334,6092.0,12849.5,15428.583333333334,15428.583333333334,1533.0,3059.25,3490.0833333333335,3490.0833333333335,19690.0,2019-09-04,0.2488572879634332,下降,撤去検討期,502.0,1397.0,1022.0,36.0
43,P巨人の星～栄光の軌跡～ 連戦連勝version,2026-06-24,2019-09-04,2019-09-11,,2,355,11720.0,15025.0,15025.0,15025.0,15025.0,15025.0,17055.0,21768.5,21768.5,21768.5,5459.0,6273.5,6273.5,6273.5,18330.0,2019-09-04,0.6393889798145117,横ばい,下降期,193.0,677.0,126.0,79.1
44,P戦国乙女5 1/219～1/184ver.,2026-06-24,2019-09-04,2019-09-18,,3,355,11780.0,13856.666666666666,13856.666666666666,13856.666666666666,13856.666666666666,13856.666666666666,16262.0,18957.0,18957.0,18957.0,3473.0,3888.6666666666665,3888.6666666666665,3888.6666666666665,16400.0,2019-09-04,0.7182926829268292,横ばい,成熟期,265.0,947.0,643.0,71.7
45,P沖7 BLACK,2026-06-24,2019-09-04,2019-09-18,,3,355,11600.0,15673.333333333334,15673.333333333334,15673.333333333334,15673.333333333334,15673.333333333334,15559.0,20941.666666666668,20941.666666666668,20941.666666666668,3767.0,4768.333333333333,4768.333333333333,4768.333333333333,20570.0,2019-09-04,0.5639280505590666,横ばい,下降期,157.0,756.0,331.0,76.2
46,P鉄拳 極,2026-06-24,2019-09-04,2019-10-09,,6,355,12930.0,15020.0,18918.333333333332,18918.333333333332,18918.333333333332,18918.333333333332,17439.0,20014.5,25228.666666666668,25228.666666666668,4353.0,4615.75,5793.833333333333,5793.833333333333,31330.0,2019-09-04,0.41270347909352056,下降,下降期,194.0,854.0,372.0,68.0
47,SLOTギルティクラウン,2026-06-24,2019-09-04,2022-02-09,,119,355,18840.0,18280.25,16869.833333333332,15740.307692307691,15226.403846153846,13681.302521008403,44951.0,45620.5,43477.5,35947.20168067227,5781.0,7358.5,7755.333333333333,5271.361344537815,18969.0,2022-02-02,0.9931994306500079,微増,成長・高稼働期,72.0,36.0,57.0,95.8
48,SLOT魔法少女まどか☆マギカ,2026-06-24,2019-09-04,2019-12-11,,15,355,11196.0,11452.5,12454.75,12264.466666666667,12264.466666666667,12264.466666666667,32413.0,32649.5,35720.0,35341.86666666667,6853.0,5890.5,5613.583333333333,5365.666666666667,17008.0,2019-10-30,0.6582784571966134,微減,成熟期,474.0,165.0,165.0,78.5
49,ぱちんこCR北斗の拳6 天翔百裂 FTB,2026-06-24,2019-09-04,2022-02-02,,120,355,12140.0,12460.0,11788.333333333334,11797.692307692309,11964.23076923077,12613.166666666666,25069.0,25485.5,24188.75,25398.183333333334,5408.0,4901.25,4488.583333333333,4365.541666666667,20000.0,2020-01-08,0.607,微増,下降期,369.0,410.0,305.0,76.3
50,ぱちんこCR真・北斗無双 FWN,2026-06-24,2019-09-04,2022-04-06,,129,355,13960.0,15455.0,16500.833333333332,16637.69230769231,17666.53846153846,20591.24031007752,25174.0,27461.0,29653.583333333332,36883.46511627907,3262.0,3688.5,3933.0833333333335,3533.3488372093025,32790.0,2020-01-08,0.42573955474229946,微減,下降期,175.0,307.0,743.0,74.1
51,ぱちんこCR聖戦士ダンバイン EWNB,2026-06-24,2019-09-04,2021-02-17,,69,355,15520.0,15210.0,15473.333333333334,16103.076923076924,16731.346153846152,16909.130434782608,31260.0,31079.25,31702.916666666668,34549.42028985507,6357.0,6358.75,6890.833333333333,7645.028985507246,24340.0,2020-01-08,0.637633525061627,横ばい,下降期,185.0,200.0,121.0,85.7
52,ぱちんこCR聖戦士ダンバイン FWN,2026-06-24,2019-09-04,2022-01-26,,118,355,20720.0,21002.5,18693.333333333332,19058.846153846152,20348.26923076923,23597.71186440678,44110.0,44673.25,40079.583333333336,50013.05084745763,12095.0,11316.75,9229.333333333334,10444.271186440677,35040.0,2020-01-08,0.591324200913242,上昇,下降期,32.0,38.0,11.0,91.9
