machine_id,machine_name,machine_name_normalized,first_seen_date,last_seen_date,data_count,days_since_last_seen,weeks_since_last_seen,active_status
996,ドラゴンハナハナ～閃光～-30,ドラゴンハナハナ～閃光～-30,2023-12-27,2026-06-24,126,0,0.0,現役
997,パチスロ ファイヤードリフト,パチスロ ファイヤードリフト,2023-12-27,2025-09-10,11,287,41.0,準現役
998,L 仮面ライダー 7RIDERS,L 仮面ライダー 7RIDERS,2024-01-17,2024-07-10,25,714,102.0,準現役
999,Lスマスロ バイオハザード:ヴィレッジ,Lスマスロ バイオハザード:ヴィレッジ,2024-01-17,2025-09-10,10,287,41.0,準現役
1000,Lパチスロ マクロスフロンティア4,Lパチスロ マクロスフロンティア4,2024-01-17,2025-09-10,18,287,41.0,準現役
1004,Pとある魔術の禁書目録2 JMZ,Pとある魔術の禁書目録2 JMZ,2024-01-17,2024-08-21,29,672,96.0,準現役
1008,Pポチッと一発!おだてブタ2 V1,Pポチッと一発!おだてブタ2 V1,2024-01-17,2026-06-24,122,0,0.0,現役
1011,P弾球黙示録カイジ沼5 V1U,P弾球黙示録カイジ沼5 V1U,2024-01-31,2024-10-09,34,623,89.0,準現役
1012,P真・花の慶次3 99ver.,P真・花の慶次3 99ver.,2024-01-31,2024-07-31,21,693,99.0,準現役
1013,L GⅠ優駿倶楽部黄金,L GⅠ優駿倶楽部黄金,2024-02-14,2025-09-10,32,287,41.0,準現役
1015,Lゴジラ対エヴァンゲリオン,Lゴジラ対エヴァンゲリオン,2024-02-14,2025-09-10,50,287,41.0,準現役
1016,Lストライクウィッチーズ2,Lストライクウィッチーズ2,2024-02-14,2024-08-06,26,687,98.1,準現役
1017,Lスマスロ コードギアス 反逆のルルーシュ/復活のルルーシュ,Lスマスロ コードギアス 反逆のルルーシュ/復活のルルーシュ,2024-02-14,2025-09-10,10,287,41.0,準現役
1019,Lパチスロガールズ＆パンツァー 最終章,Lパチスロガールズ＆パンツァー 最終章,2024-02-14,2025-12-03,21,203,29.0,準現役
1023,P新世紀エヴァンゲリオン ～未来への咆哮～ PREMIUM MODEL,P新世紀エヴァンゲリオン ～未来への咆哮～ PREMIUM MODEL,2024-02-14,2024-09-11,30,651,93.0,準現役
1025,P真・一騎当千～桃園の誓い～129ver.,P真・一騎当千～桃園の誓い～129ver.,2024-02-14,2024-12-18,38,553,79.0,準現役
1027,ワードオブライツⅡ,ワードオブライツⅡ,2024-02-14,2025-09-10,10,287,41.0,準現役
1029,Pニュートキオ GREEN V1,Pニュートキオ GREEN V1,2024-02-28,2024-11-27,20,574,82.0,準現役
1030,Pルパン三世 THE FIRST 99ver.,Pルパン三世 THE FIRST 99ver.,2024-02-28,2025-05-28,54,392,56.0,準現役
1031,Lスマスロキングパルサー,Lスマスロキングパルサー,2024-03-13,2025-09-10,18,287,41.0,準現役
1032,Lチバリヨ2,Lチバリヨ2,2024-03-13,2026-06-24,115,0,0.0,現役
1033,L南国育ち(2024年),L南国育ち(2024年),2024-03-13,2025-09-10,23,287,41.0,準現役
1035,PLT OVERLORD魔導王光臨 ME,PLT OVERLORD魔導王光臨 ME,2024-03-13,2024-07-10,14,714,102.0,準現役
1039,P世紀末・天才バカボン～福神SPEC～ LTH-JH,P世紀末・天才バカボン～福神SPEC～ LTH-JH,2024-03-13,2024-09-04,24,658,94.0,準現役
1040,P北斗の拳 強敵 LT SSPA,P北斗の拳 強敵 LT SSPA,2024-03-13,2025-04-02,48,448,64.0,準現役
1042,P緋弾のアリア ～緋緋神降臨～ ラッキートリガーVer.,P緋弾のアリア ～緋緋神降臨～ ラッキートリガーVer.,2024-03-13,2024-09-04,25,658,94.0,準現役
1045,パチスロ ガメラ2,パチスロ ガメラ2,2024-03-13,2025-09-10,31,287,41.0,準現役
1047,Lスマート沖スロ ドラゴンハナハナ～閃光～,Lスマート沖スロ ドラゴンハナハナ～閃光～,2024-03-27,2025-09-10,51,287,41.0,準現役
1048,L忍魂参 ～奥義皆伝ノ章～,L忍魂参 ～奥義皆伝ノ章～,2024-03-27,2025-09-10,19,287,41.0,準現役
1049,P sin 七つの大罪 強甘 2400Ver.,P sin 七つの大罪 強甘 2400Ver.,2024-03-27,2024-08-28,20,665,95.0,準現役
1050,P咲-Saki-全国編 テンパイ即リーver.,P咲-Saki-全国編 テンパイ即リーver.,2024-03-27,2024-08-06,14,687,98.1,準現役
1052,Lうる星やつら(2024年),Lうる星やつら(2024年),2024-04-17,2025-09-10,23,287,41.0,準現役
1053,Lスマスロ ゴールデンカムイ,Lスマスロ ゴールデンカムイ,2024-04-17,2026-04-29,18,56,8.0,準現役
1054,Lスマスロ ストライク・ザ・ブラッド,Lスマスロ ストライク・ザ・ブラッド,2024-04-17,2025-09-10,10,287,41.0,準現役
1056,Pひぐらしのなく頃に 輪廻転生 FM-JT,Pひぐらしのなく頃に 輪廻転生 FM-JT,2024-04-17,2024-07-10,11,714,102.0,準現役
1057,Pバイオハザード RE:2 LTver.,Pバイオハザード RE:2 LTver.,2024-04-17,2024-10-09,25,623,89.0,準現役
1060,P大工の源さん超韋駄天2 極源LighT,P大工の源さん超韋駄天2 極源LighT,2024-04-17,2024-10-09,25,623,89.0,準現役
1061,ジャグラーガールズSS,ジャグラーガールズSS,2024-04-17,2026-06-24,110,0,0.0,現役
1062,L押忍!番長4,L押忍!番長4,2024-05-01,2025-09-10,28,287,41.0,準現役
